time,co2
1981-01-28,316.1
1981-02-04,317.3
1981-02-11,317.6
1981-02-18,317.5
1981-02-25,316.4
1981-03-04,316.9
1981-03-11,
1981-03-18,317.5
1981-03-25,317.9
1981-04-01,
1981-04-08,
1981-04-15,
1981-04-22,
1981-04-29,
1981-05-06,315.8
1981-05-13,315.8
1981-05-20,315.4
1981-05-27,315.5
1981-06-03,315.6
1981-06-10,315.1
1981-06-17,315.0
1981-06-24,
1981-07-01,314.1
1981-07-08,313.5
1981-07-15,
1981-07-22,
1981-07-29,
1981-08-05,
1981-08-12,
1981-08-19,
1981-08-26,
1981-09-02,
1981-09-09,313.0
1981-09-16,313.2
1981-09-23,313.5
1981-09-30,314.0
1981-10-07,314.5
1981-10-14,314.4
1981-10-21,314.7
1981-10-28,315.2
1981-11-04,315.2
1981-11-11,315.5
1981-11-18,315.6
1981-11-25,315.8
1981-12-02,315.4
1981-12-09,
1981-12-16,316.9
1981-12-23,316.6
1981-12-30,316.6
1982-01-06,316.8
1982-01-13,
1982-01-20,316.7
1982-01-27,316.7
1982-02-03,317.7
1982-02-10,317.1
1982-02-17,317.6
1982-02-24,318.3
1982-03-03,318.2
1982-03-10,318.7
1982-03-17,318.0
1982-03-24,318.4
1982-03-31,
1982-04-07,318.5
1982-04-14,318.1
1982-04-21,317.8
1982-04-28,317.7
1982-05-05,316.8
1982-05-12,316.8
1982-05-19,316.4
1982-05-26,316.1
1982-06-02,315.6
1982-06-09,314.9
1982-06-16,
1982-06-23,315.0
1982-06-30,314.1
1982-07-07,314.4
1982-07-14,313.9
1982-07-21,313.5
1982-07-28,313.5
1982-08-04,313.0
1982-08-11,313.1
1982-08-18,313.4
1982-08-25,313.4
1982-09-01,314.1
1982-09-08,314.4
1982-09-15,314.8
1982-09-22,315.2
1982-09-29,315.1
1982-10-06,315.0
1982-10-13,315.6
1982-10-20,315.8
1982-10-27,315.7
1982-11-03,315.7
1982-11-10,316.4
1982-11-17,316.7
1982-11-24,316.5
1982-12-01,316.6
1982-12-08,316.6
1982-12-15,316.9
1982-12-22,317.4
1982-12-29,317.0
1983-01-05,316.9
1983-01-12,317.7
1983-01-19,318.0
1983-01-26,317.7
1983-02-02,318.6
1983-02-09,319.3
1983-02-16,319.0
1983-02-23,319.0
1983-03-02,319.7
1983-03-09,319.9
1983-03-16,319.8
1983-03-23,320.0
1983-03-30,320.0
1983-04-06,319.4
1983-04-13,320.0
1983-04-20,319.4
1983-04-27,319.0
1983-05-04,318.1
1983-05-11,318.6
1983-05-18,318.4
1983-05-25,317.9
1983-06-01,317.3
1983-06-08,316.6
1983-06-15,316.7
1983-06-22,315.1
1983-06-29,314.7
1983-07-06,314.7
1983-07-13,314.5
1983-07-20,314.2
1983-07-27,313.3
1983-08-03,313.6
1983-08-10,313.3
1983-08-17,313.9
1983-08-24,314.2
1983-08-31,314.2
1983-09-07,314.5
1983-09-14,315.1
1983-09-21,315.1
1983-09-28,315.4
1983-10-05,315.8
1983-10-12,316.0
1983-10-19,316.2
1983-10-26,316.4
1983-11-02,316.6
1983-11-09,316.7
1983-11-16,317.0
1983-11-23,317.0
1983-11-30,317.0
1983-12-07,317.0
1983-12-14,317.7
1983-12-21,317.9
1983-12-28,318.0
1984-01-04,318.0
1984-01-11,318.5
1984-01-18,318.9
1984-01-25,318.7
1984-02-01,319.4
1984-02-08,319.5
1984-02-15,318.9
1984-02-22,319.7
1984-02-29,319.6
1984-03-07,320.6
1984-03-14,320.4
1984-03-21,320.6
1984-03-28,320.3
1984-04-04,320.0
1984-04-11,320.0
1984-04-18,319.6
1984-04-25,319.4
1984-05-02,319.2
1984-05-09,319.0
1984-05-16,318.4
1984-05-23,317.1
1984-05-30,317.9
1984-06-06,317.9
1984-06-13,317.3
1984-06-20,316.7
1984-06-27,315.2
